CodigoProduto;PrecoTabela;PrecoPromocao;InicioVigenciaPromocao;TerminoVigenciaPromocao
8017-01-PPa;1779.9;1669.88;10/12/2025;10/12/2095
1439-156-Pa;579.9;539.88;10/12/2025;10/12/2095
1439-156-Ma;579.9;539.88;10/12/2025;10/12/2095
1439-156-Ga;579.9;539.88;10/12/2025;10/12/2095
1439-156-GGa;579.9;539.88;10/12/2025;10/12/2095
1439-32-EGGa;579.9;539.88;10/12/2025;10/12/2095
2380-156-PPa;419.9;389.88;10/12/2025;10/12/2095
2380-156-Pa;419.9;389.88;10/12/2025;10/12/2095
2380-156-Ma;419.9;389.88;10/12/2025;10/12/2095
2380-156-Ga;419.9;389.88;10/12/2025;10/12/2095
2380-156-GGa;419.9;389.88;10/12/2025;10/12/2095
